"Product ID";"Active (0/1)";Name;"Categories (x,y,z...)";"Price tax excluded";"Price tax included";"Tax rules ID";"Wholesale price";"On sale (0/1)";"Discount amount";"Discount percent";"Discount from (yyyy-mm-dd)";"Discount to (yyyy-mm-dd)";"Reference #";"Supplier reference #";"Supplier ID";"Manufacturer ID";EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;"Minimal quantity";Visibility;"Additional shipping cost";"Unit for the unit price";"Unit price";"Short description";Description;"Tags (x,y,z...)";"Meta title";"Meta keywords";"Meta description";"URL rewritten";"Text when in stock";"Text when backorder allowed";"Available for order (0 = No, 1 = Yes)";"Product available date";"Product creation date";"Show price (0 = No, 1 = Yes)";"Image URLs (x,y,z...)";"Delete existing images (0 = No, 1 = Yes)";"Feature (Name:Value:Position:Customized)";"Available online only (0 = No, 1 = Yes)";Condition;"Customizable (0 = No, 1 = Yes)";"Uploadable files (0 = No, 1 = Yes)";"Text fields (0 = No, 1 = Yes)";"Action when out of stock";"ID / Name of shop";"Advanced Stock Management";"Depends on stock";Warehouse;Accessories;Carriers;"Customization Fields";"Attacments Ids";"Date Update";"Base price"
1;1;"Ab Wheel Roller";2,12,13,14,15,17,20,21,22,23,24,25,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60;36;36;1;45.000000;1;;;;;00101;;1;6;;;0.000000;0.000000;0.000000;0.000000;0.000000;7499;1;both;0.00;;28.8;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast.</p>";"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined.</p>
<p>We are proud to present our outstanding choice of sport &amp; fitness equipment. Our store has a largest assortment among the others that is why our products have a great number of faithful customers all over the country. The premium quality and fair price – these are the main advantages of our goods. There is no doubt that our products are the real bestsellers; our clients’ testimonials can prove that. </p>";;;;;ab-wheel-roller;;;1;0000-00-00;"2015-08-19 05:13:24";1;http://192.168.9.117/Prestashop/theme1242/img/p/1/2/1/121.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/2/2/122.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/2/3/123.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/2/4/124.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/2/5/125.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/2/6/126.jpg;0;1:333:1,2:334:2,3:343:3,4:428:4;0;new;0;0;0;2;1;0;;;3,4,6,8,10,11,17;;;;"2015-08-20 09:33:09";45.000000
2;1;"Body Sport Fitness Ball";2,12,13,14,15,17,20,21,22,23,24,25,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60;12;12;1;15.000000;1;;;;;00102;;3;9;;;0.000000;0.000000;0.000000;0.000000;0.000000;4500;1;both;0.00;;0;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. </p>";"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined.</p>
<p>We are proud to present our outstanding choice of sport &amp; fitness equipment. Our store has a largest assortment among the others that is why our products have a great number of faithful customers all over the country. The premium quality and fair price – these are the main advantages of our goods. There is no doubt that our products are the real bestsellers; our clients’ testimonials can prove that.</p>
<p>The sport &amp; fitness equipment of our company have unique design and they are very functional. Our products are the combination of attractive shapes and good content. We take part in numerous researches with different health centers. We are trying to introduce positive results of our explorations.</p>
<p>You must address our outstanding online 24/7 support system where you can find all answers on your questions. Also our company often provides different promos and you can get a good discount. Keep saving your money with our store.    </p>";;;;;body-sport-fitness-ball;;;1;0000-00-00;"2015-08-19 05:13:26";1;http://192.168.9.117/Prestashop/theme1242/img/p/1/2/7/127.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/2/8/128.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/2/9/129.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/3/0/130.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/3/1/131.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/3/2/132.jpg;0;1:329:1,2:330:2,3:331:3,4:332:4;0;new;0;0;0;2;1;0;;;3,4,6,8,10,11,15,16,17,18,20;;;;"2015-08-19 05:13:26";15.000000
3;1;"Solid Tools Padded Weighted Bar";2,12,13,14,15,17,20,21,22,23,24,25,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60;16;16;1;20.000000;1;;;;;00103;;8;7;;;0.000000;0.000000;0.000000;0.000000;0.000000;1500;1;both;0.00;;12.8;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. </p>";"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined.</p>
<p>We are proud to present our outstanding choice of sport &amp; fitness equipment. Our store has a largest assortment among the others that is why our products have a great number of faithful customers all over the country. The premium quality and fair price – these are the main advantages of our goods. There is no doubt that our products are the real bestsellers; our clients’ testimonials can prove that.</p>
<p>The sport &amp; fitness equipment of our company have unique design and they are very functional. Our products are the combination of attractive shapes and good content. We take part in numerous researches with different health centers. We are trying to introduce positive results of our explorations.</p>
<p>You must address our outstanding online 24/7 support system where you can find all answers on your questions. Also our company often provides different promos and you can get a good discount. Keep saving your money with our store.    </p>";;;;;solid-tools-padded-weighted-bar;;;1;0000-00-00;"2015-08-19 05:13:28";1;http://192.168.9.117/Prestashop/theme1242/img/p/1/3/3/133.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/3/4/134.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/3/5/135.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/3/6/136.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/3/7/137.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/3/8/138.jpg;0;1::1,2::2,3:335:3,4:336:4;0;new;0;0;0;2;1;0;;;3,4,6,7,8,10,11,15,16,17,18,19,20;;;;"2015-08-19 05:13:28";20.000000
4;1;"Exercise Yoga Mat with Carry Strap";2,12,13,14,15,17,20,21,22,23,24,25,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60;14.4;14.4;1;18.000000;1;;;;;00104;;3;11;;;0.000000;0.000000;0.000000;0.000000;0.000000;1800;1;both;0.00;;11.52;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast.</p>";"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined.</p>
<p>We are proud to present our outstanding choice of sport &amp; fitness equipment. Our store has a largest assortment among the others that is why our products have a great number of faithful customers all over the country. The premium quality and fair price – these are the main advantages of our goods. There is no doubt that our products are the real bestsellers; our clients’ testimonials can prove that.</p>
<p>The sport &amp; fitness equipment of our company have unique design and they are very functional. Our products are the combination of attractive shapes and good content. We take part in numerous researches with different health centers. We are trying to introduce positive results of our explorations.</p>
<p>You must address our outstanding online 24/7 support system where you can find all answers on your questions. Also our company often provides different promos and you can get a good discount. Keep saving your money with our store.    </p>";;;;;exercise-yoga-mat-with-carry-strap;;;1;0000-00-00;"2015-08-19 05:13:30";1;http://192.168.9.117/Prestashop/theme1242/img/p/1/3/9/139.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/4/0/140.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/4/1/141.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/4/2/142.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/4/3/143.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/4/4/144.jpg;0;1::1,2:330:2,3:339:3,4:340:4;0;new;0;0;0;2;1;0;;;1,2,3,4,6,7,8,10,11,15,16,17,18,19,20;;;;"2015-08-19 05:13:30";18.000000
5;1;"Fitness Tubes";2,12,13,14,15,17,20,21,22,23,24,25,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60;10;10;1;10.000000;1;;;;;00105;;1;8;;;0.000000;0.000000;0.000000;0.000000;0.000000;1500;1;both;0.00;;10;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. </p>";"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined.</p>
<p>We are proud to present our outstanding choice of sport &amp; fitness equipment. Our store has a largest assortment among the others that is why our products have a great number of faithful customers all over the country. The premium quality and fair price – these are the main advantages of our goods. There is no doubt that our products are the real bestsellers; our clients’ testimonials can prove that.</p>
<p>The sport &amp; fitness equipment of our company have unique design and they are very functional. Our products are the combination of attractive shapes and good content. We take part in numerous researches with different health centers. We are trying to introduce positive results of our explorations.</p>
<p>You must address our outstanding online 24/7 support system where you can find all answers on your questions. Also our company often provides different promos and you can get a good discount. Keep saving your money with our store.    </p>";;;;;fitness-tubes;;;1;0000-00-00;"2015-08-19 05:13:32";1;http://192.168.9.117/Prestashop/theme1242/img/p/1/4/5/145.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/4/6/146.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/4/7/147.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/4/8/148.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/4/9/149.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/5/0/150.jpg;0;1:329:1,2::2,3::3,4:340:4;0;new;0;0;0;2;1;0;;;1,2,3,4,6,7,8,10,11,15,16,17,18,19,20;;;;"2015-08-19 05:13:32";10.000000
6;1;"Garmin Vivofit Fitness Band";2,12,13,14,15,17,20,21,22,23,24,25,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60;60;60;1;60.000000;1;;;;;00106;;4;10;;;0.000000;0.000000;0.000000;0.000000;0.000000;900;1;both;0.00;;60;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast.</p>";"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined.</p>
<p>We are proud to present our outstanding choice of sport &amp; fitness equipment. Our store has a largest assortment among the others that is why our products have a great number of faithful customers all over the country. The premium quality and fair price – these are the main advantages of our goods. There is no doubt that our products are the real bestsellers; our clients’ testimonials can prove that.</p>
<p>The sport &amp; fitness equipment of our company have unique design and they are very functional. Our products are the combination of attractive shapes and good content. We take part in numerous researches with different health centers. We are trying to introduce positive results of our explorations.</p>
<p>You must address our outstanding online 24/7 support system where you can find all answers on your questions. Also our company often provides different promos and you can get a good discount. Keep saving your money with our store.    </p>";;;;;garmin-vivofit-fitness-band;;;1;0000-00-00;"2015-08-19 05:13:36";1;http://192.168.9.117/Prestashop/theme1242/img/p/1/5/1/151.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/5/2/152.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/5/3/153.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/5/4/154.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/5/5/155.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/5/6/156.jpg;0;1:345:1,2::2,3:336:3,4:348:4;0;new;0;0;0;2;1;0;;;1,2,3,4,6,7,8,10,11,15,16,17,18,19,20;;;;"2015-08-19 05:13:36";60.000000
7;1;"Advanced Hinged Open Patella Knee Brace";2,12,13,14,15,17,20,21,22,23,24,25,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60;25;25;1;25.000000;1;;;;;00107;;1;4;;;0.000000;0.000000;0.000000;0.000000;0.000000;1500;1;both;0.00;;25;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast.</p>";"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined.</p>
<p>We are proud to present our outstanding choice of sport &amp; fitness equipment. Our store has a largest assortment among the others that is why our products have a great number of faithful customers all over the country. The premium quality and fair price – these are the main advantages of our goods. There is no doubt that our products are the real bestsellers; our clients’ testimonials can prove that.</p>
<p>The sport &amp; fitness equipment of our company have unique design and they are very functional. Our products are the combination of attractive shapes and good content. We take part in numerous researches with different health centers. We are trying to introduce positive results of our explorations.</p>
<p>You must address our outstanding online 24/7 support system where you can find all answers on your questions. Also our company often provides different promos and you can get a good discount. Keep saving your money with our store.    </p>";;;;;advanced-hinged-open-patella-knee-brace;;;1;0000-00-00;"2015-08-19 05:13:39";1;http://192.168.9.117/Prestashop/theme1242/img/p/1/5/7/157.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/5/8/158.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/5/9/159.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/6/0/160.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/6/1/161.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/6/2/162.jpg;0;1::1,2::2,3::3,4:336:4;0;new;0;0;0;2;1;0;;;1,2,3,4,6,7,8,10,11,15,16,17,18,19,20;;;;"2015-08-19 05:13:39";25.000000
8;1;"One Pair of Adjustable Dumbbells Cast Iron";2,12,13,14,15,17,20,21,22,23,24,25,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60;70;70;1;70.000000;1;;;;;00108;;3;2;;;0.000000;0.000000;0.000000;0.000000;0.000000;1200;1;both;0.00;;70;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast.</p>";"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined.</p>
<p>We are proud to present our outstanding choice of sport &amp; fitness equipment. Our store has a largest assortment among the others that is why our products have a great number of faithful customers all over the country. The premium quality and fair price – these are the main advantages of our goods. There is no doubt that our products are the real bestsellers; our clients’ testimonials can prove that.</p>
<p>The sport &amp; fitness equipment of our company have unique design and they are very functional. Our products are the combination of attractive shapes and good content. We take part in numerous researches with different health centers. We are trying to introduce positive results of our explorations.</p>
<p>You must address our outstanding online 24/7 support system where you can find all answers on your questions. Also our company often provides different promos and you can get a good discount. Keep saving your money with our store.    </p>";;;;;one-pair-of-adjustable-dumbbells-cast-iron;;;1;0000-00-00;"2015-08-19 05:13:42";1;http://192.168.9.117/Prestashop/theme1242/img/p/1/6/3/163.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/6/4/164.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/6/5/165.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/6/6/166.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/6/7/167.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/6/8/168.jpg;0;1:345:1,2:358:2,3::3,4:336:4;0;new;0;0;0;2;1;0;;;1,2,3,4,6,7,8,10,11,15,16,17,18,19,20;;;;"2015-08-19 05:13:42";70.000000
9;1;"Interlocking Rubber Tiles";2,12,13,14,15,17,20,21,22,23,24,25,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60;24;24;1;30.000000;0;;;;;00109;;4;3;;;0.000000;0.000000;0.000000;0.000000;0.000000;1200;1;both;0.00;;19.2;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast.</p>";"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined.</p>
<p>We are proud to present our outstanding choice of sport &amp; fitness equipment. Our store has a largest assortment among the others that is why our products have a great number of faithful customers all over the country. The premium quality and fair price – these are the main advantages of our goods. There is no doubt that our products are the real bestsellers; our clients’ testimonials can prove that.</p>
<p>The sport &amp; fitness equipment of our company have unique design and they are very functional. Our products are the combination of attractive shapes and good content. We take part in numerous researches with different health centers. We are trying to introduce positive results of our explorations.</p>
<p>You must address our outstanding online 24/7 support system where you can find all answers on your questions. Also our company often provides different promos and you can get a good discount. Keep saving your money with our store.    </p>";;;;;interlocking-rubber-tiles;;;1;0000-00-00;"2015-08-19 05:13:46";1;http://192.168.9.117/Prestashop/theme1242/img/p/1/6/9/169.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/7/0/170.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/7/1/171.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/7/2/172.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/7/3/173.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/7/4/174.jpg;0;1:329:1,2::2,3:339:3,4:336:4;0;new;0;0;0;2;1;0;;;1,2,3,4,6,7,8,10,11,15,16,17,18,19,20;;;;"2015-08-19 05:13:46";30.000000
10;1;"Soozier Flat Exercise";2,12,13,14,15,17,20,21,22,23,24,25,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60;40;40;1;50.000000;0;;;;;00110;;8;5;;;0.000000;0.000000;0.000000;0.000000;0.000000;400;1;both;0.00;;32;"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast.</p>";"<p>To be in a good shape is very important nowadays because our way of life isn’t so healthy and active. Most of us spend endless hours sitting by the computer and it gives negative results very fast. We think that fitness is a pleasant and useful activity. It helps to be more successful and disciplined.</p>
<p>We are proud to present our outstanding choice of sport &amp; fitness equipment. Our store has a largest assortment among the others that is why our products have a great number of faithful customers all over the country. The premium quality and fair price – these are the main advantages of our goods. There is no doubt that our products are the real bestsellers; our clients’ testimonials can prove that.</p>
<p>The sport &amp; fitness equipment of our company have unique design and they are very functional. Our products are the combination of attractive shapes and good content. We take part in numerous researches with different health centers. We are trying to introduce positive results of our explorations.</p>
<p>You must address our outstanding online 24/7 support system where you can find all answers on your questions. Also our company often provides different promos and you can get a good discount. Keep saving your money with our store.    </p>";;;;;soozier-flat-exercise;;;1;0000-00-00;"2015-08-19 05:13:49";1;http://192.168.9.117/Prestashop/theme1242/img/p/1/7/5/175.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/7/6/176.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/7/7/177.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/7/8/178.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/7/9/179.jpg,http://192.168.9.117/Prestashop/theme1242/img/p/1/8/0/180.jpg;0;1:345:1,2:358:2,3::3,4:336:4;0;new;0;0;0;2;1;0;;;1,2,3,4,6,7,8,10,11,15,16,17,18,19,20;;;;"2015-08-19 05:13:49";50.000000
